Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.34,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.414594650268555,31.77337646484375,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.564139187335968,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6593881249427795,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874434688.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102808448.0,33198306.0,8818198.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7018934555.5,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.35,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.414594650268555,31.77337646484375,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.564139187335968,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6593881249427795,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874434688.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102808448.0,33198306.0,8818198.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6649006160.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.36,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.414594650268555,31.77337646484375,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.564139187335968,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6593881249427795,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874434688.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102808448.0,33198306.0,8818198.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7680903445.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.37,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.414594650268555,31.77337646484375,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.564139187335968,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6593881249427795,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874434688.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102808448.0,33198306.0,8818198.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7325133137.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.38,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7504882278.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.39,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6732674114.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.4,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6761453445.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.41,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7562384149.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.42,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7205199825.5,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.43,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,8066965519.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.44,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7233898229.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.45,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7539585874.333333,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.46,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7515358788.5,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.47,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.33193016052246,32.58781051635742,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5232009291648865,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6655933856964111,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1873095424.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102433152.0,33198306.0,8814874.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,8152761126.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.48,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.499244689941406,31.79209327697754,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5638410449028015,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6676462888717651,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874061184.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102581888.0,33198306.0,8816481.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,8181091149.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.49,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.499244689941406,31.79209327697754,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5638410449028015,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6676462888717651,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874061184.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102581888.0,33198306.0,8816481.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7346790340.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.5,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.499244689941406,31.79209327697754,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5638410449028015,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6676462888717651,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874061184.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102581888.0,33198306.0,8816481.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,8209791223.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.51,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.499244689941406,31.79209327697754,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5638410449028015,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6676462888717651,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874061184.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102581888.0,33198306.0,8816481.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,8000158911.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.52,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.499244689941406,31.79209327697754,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5638410449028015,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6676462888717651,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874061184.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102581888.0,33198306.0,8816481.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7691476332.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.53,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.499244689941406,31.79209327697754,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5638410449028015,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6676462888717651,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874061184.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102581888.0,33198306.0,8816481.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7819481249.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.54,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.499244689941406,31.79209327697754,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.5638410449028015,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.6676462888717651,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1874061184.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,1102581888.0,33198306.0,8816481.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,8072253283.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
